,S&P 500 Price,,,DAX Price
02-12-16,2191.95,,02-12-16,10513.35
03-12-16,2191.95,,03-12-16,10513.35
04-12-16,2191.95,,04-12-16,10513.35
05-12-16,2204.71,,05-12-16,10684.83
06-12-16,2212.23,,06-12-16,10775.32
07-12-16,2241.35,,07-12-16,10986.69
08-12-16,2246.19,,08-12-16,11179.42
09-12-16,2259.53,,09-12-16,11203.63
10-12-16,2259.53,,10-12-16,11203.63
11-12-16,2259.53,,11-12-16,11203.63
12-12-16,2256.96,,12-12-16,11190.21
13-12-16,2271.72,,13-12-16,11284.65
14-12-16,2253.28,,14-12-16,11244.84
15-12-16,2262.03,,15-12-16,11366.4
16-12-16,2258.07,,16-12-16,11404.01
17-12-16,2258.07,,17-12-16,11404.01
18-12-16,2258.07,,18-12-16,11404.01
19-12-16,2262.53,,19-12-16,11426.7
20-12-16,2270.76,,20-12-16,11464.74
21-12-16,2265.18,,21-12-16,11468.64
22-12-16,2260.96,,22-12-16,11456.1
23-12-16,2263.79,,23-12-16,11449.93
24-12-16,2263.79,,24-12-16,11449.93
25-12-16,2263.79,,25-12-16,11449.93
26-12-16,2263.79,,26-12-16,11449.93
27-12-16,2268.88,,27-12-16,11472.24
28-12-16,2249.92,,28-12-16,11474.99
29-12-16,2249.26,,29-12-16,11451.05
30-12-16,2238.83,,30-12-16,11481.06
31-12-16,2238.83,,31-12-16,11481.06
01-01-17,2238.83,,01-01-17,11481.06
02-01-17,2238.83,,02-01-17,11598.33
03-01-17,2257.83,,03-01-17,11584.24
04-01-17,2270.75,,04-01-17,11584.31
05-01-17,2269,,05-01-17,11584.94
06-01-17,2276.98,,06-01-17,11599.01
07-01-17,2276.98,,07-01-17,11599.01
08-01-17,2276.98,,08-01-17,11599.01
09-01-17,2268.9,,09-01-17,11563.99
10-01-17,2268.9,,10-01-17,11583.3
11-01-17,2275.32,,11-01-17,11646.17
12-01-17,2270.44,,12-01-17,11521.04
13-01-17,2274.64,,13-01-17,11629.18
14-01-17,2274.64,,14-01-17,11629.18
15-01-17,2274.64,,15-01-17,11629.18
16-01-17,2274.64,,16-01-17,11554.71
17-01-17,2267.89,,17-01-17,11540
18-01-17,2271.89,,18-01-17,11599.39
19-01-17,2263.69,,19-01-17,11596.89
20-01-17,2271.31,,20-01-17,11630.13
21-01-17,2271.31,,21-01-17,11630.13
22-01-17,2271.31,,22-01-17,11630.13
23-01-17,2265.2,,23-01-17,11545.75
24-01-17,2280.07,,24-01-17,11594.94
25-01-17,2298.37,,25-01-17,11806.05
26-01-17,2296.68,,26-01-17,11848.63
27-01-17,2294.69,,27-01-17,11814.27
28-01-17,2294.69,,28-01-17,11814.27
29-01-17,2294.69,,29-01-17,11814.27
30-01-17,2280.9,,30-01-17,11681.89
31-01-17,2278.87,,31-01-17,11535.31
01-02-17,2279.55,,01-02-17,11659.5
02-02-17,2280.85,,02-02-17,11627.95
03-02-17,2297.42,,03-02-17,11651.49
04-02-17,2297.42,,04-02-17,11651.49
05-02-17,2297.42,,05-02-17,11651.49
06-02-17,2292.56,,06-02-17,11509.84
07-02-17,2293.08,,07-02-17,11549.44
08-02-17,2294.67,,08-02-17,11543.38
09-02-17,2307.87,,09-02-17,11642.86
10-02-17,2316.1,,10-02-17,11666.97
11-02-17,2316.1,,11-02-17,11666.97
12-02-17,2316.1,,12-02-17,11666.97
13-02-17,2328.25,,13-02-17,11774.43
14-02-17,2337.58,,14-02-17,11771.81
15-02-17,2349.25,,15-02-17,11793.93
16-02-17,2347.22,,16-02-17,11757.24
17-02-17,2351.16,,17-02-17,11757.02
18-02-17,2351.16,,18-02-17,11757.02
19-02-17,2351.16,,19-02-17,11757.02
20-02-17,2351.16,,20-02-17,11827.62
21-02-17,2365.38,,21-02-17,11967.49
22-02-17,2362.82,,22-02-17,11998.59
23-02-17,2363.81,,23-02-17,11947.83
24-02-17,2367.34,,24-02-17,11804.03
25-02-17,2367.34,,25-02-17,11804.03
26-02-17,2367.34,,26-02-17,11804.03
27-02-17,2369.75,,27-02-17,11822.67
28-02-17,2363.64,,28-02-17,11834.41
01-03-17,2395.96,,01-03-17,12067.19
02-03-17,2381.92,,02-03-17,12059.57
03-03-17,2383.12,,03-03-17,12027.36
04-03-17,2383.12,,04-03-17,12027.36
05-03-17,2383.12,,05-03-17,12027.36
06-03-17,2375.31,,06-03-17,11958.4
07-03-17,2368.39,,07-03-17,11966.14
08-03-17,2362.98,,08-03-17,11967.31
09-03-17,2364.87,,09-03-17,11978.39
10-03-17,2372.6,,10-03-17,11963.18
11-03-17,2372.6,,11-03-17,11963.18
12-03-17,2372.6,,12-03-17,11963.18
13-03-17,2373.47,,13-03-17,11990.03
14-03-17,2365.45,,14-03-17,11988.79
15-03-17,2385.26,,15-03-17,12009.87
16-03-17,2381.38,,16-03-17,12083.18
17-03-17,2378.25,,17-03-17,12095.24
18-03-17,2378.25,,18-03-17,12095.24
19-03-17,2378.25,,19-03-17,12095.24
20-03-17,2373.47,,20-03-17,12052.9
21-03-17,2344.02,,21-03-17,11962.13
22-03-17,2348.45,,22-03-17,11904.12
23-03-17,2345.96,,23-03-17,12039.68
24-03-17,2343.98,,24-03-17,12064.27
25-03-17,2343.98,,25-03-17,12064.27
26-03-17,2343.98,,26-03-17,12064.27
27-03-17,2341.59,,27-03-17,11996.07
28-03-17,2358.57,,28-03-17,12149.42
29-03-17,2361.13,,29-03-17,12203
30-03-17,2368.06,,30-03-17,12256.43
31-03-17,2362.72,,31-03-17,12312.87
01-04-17,2362.72,,01-04-17,12312.87
02-04-17,2362.72,,02-04-17,12312.87
03-04-17,2358.84,,03-04-17,12257.2
04-04-17,2360.16,,04-04-17,12282.34
05-04-17,2352.95,,05-04-17,12217.54
06-04-17,2357.49,,06-04-17,12230.89
07-04-17,2355.54,,07-04-17,12225.06
08-04-17,2355.54,,08-04-17,12225.06
09-04-17,2355.54,,09-04-17,12225.06
10-04-17,2357.16,,10-04-17,12200.52
11-04-17,2353.78,,11-04-17,12139.35
12-04-17,2344.93,,12-04-17,12154.7
13-04-17,2328.95,,13-04-17,12109
14-04-17,2328.95,,14-04-17,12109
15-04-17,2328.95,,15-04-17,12109
16-04-17,2328.95,,16-04-17,12109
17-04-17,2349.01,,17-04-17,12109
18-04-17,2342.19,,18-04-17,12000.44
19-04-17,2338.17,,19-04-17,12016.45
20-04-17,2355.84,,20-04-17,12027.32
21-04-17,2348.69,,21-04-17,12048.57
22-04-17,2348.69,,22-04-17,12048.57
23-04-17,2348.69,,23-04-17,12048.57
24-04-17,2374.15,,24-04-17,12454.98
25-04-17,2388.61,,25-04-17,12467.04
26-04-17,2387.45,,26-04-17,12472.8
27-04-17,2388.77,,27-04-17,12443.79
28-04-17,2384.2,,28-04-17,12438.01
29-04-17,2384.2,,29-04-17,12438.01
30-04-17,2384.2,,30-04-17,12438.01
01-05-17,2388.33,,01-05-17,12438.01
02-05-17,2391.17,,02-05-17,12507.9
03-05-17,2388.13,,03-05-17,12527.84
04-05-17,2389.52,,04-05-17,12647.78
05-05-17,2399.29,,05-05-17,12716.89
06-05-17,2399.29,,06-05-17,12716.89
07-05-17,2399.29,,07-05-17,12716.89
08-05-17,2399.38,,08-05-17,12694.55
09-05-17,2396.92,,09-05-17,12749.12
10-05-17,2399.63,,10-05-17,12757.46
11-05-17,2394.44,,11-05-17,12711.06
12-05-17,2390.9,,12-05-17,12770.41
13-05-17,2390.9,,13-05-17,12770.41
14-05-17,2390.9,,14-05-17,12770.41
15-05-17,2402.32,,15-05-17,12807.04
16-05-17,2400.67,,16-05-17,12804.53
17-05-17,2357.03,,17-05-17,12631.61
18-05-17,2365.72,,18-05-17,12590.06
19-05-17,2381.73,,19-05-17,12638.69
20-05-17,2381.73,,20-05-17,12638.69
21-05-17,2381.73,,21-05-17,12638.69
22-05-17,2394.02,,22-05-17,12619.46
23-05-17,2398.42,,23-05-17,12659.15
24-05-17,2404.39,,24-05-17,12642.87
25-05-17,2415.07,,25-05-17,12621.72
26-05-17,2415.82,,26-05-17,12602.18
27-05-17,2415.82,,27-05-17,12602.18
28-05-17,2415.82,,28-05-17,12602.18
29-05-17,2415.82,,29-05-17,12628.95
30-05-17,2412.91,,30-05-17,12598.68
31-05-17,2411.8,,31-05-17,12615.06
01-06-17,2430.06,,01-06-17,12664.92
02-06-17,2439.07,,02-06-17,12822.94
03-06-17,2439.07,,03-06-17,12822.94
04-06-17,2439.07,,04-06-17,12822.94
05-06-17,2436.1,,05-06-17,12822.94
06-06-17,2429.33,,06-06-17,12690.12
07-06-17,2433.14,,07-06-17,12672.49
08-06-17,2433.79,,08-06-17,12713.58
09-06-17,2431.77,,09-06-17,12815.72
10-06-17,2431.77,,10-06-17,12815.72
11-06-17,2431.77,,11-06-17,12815.72
12-06-17,2429.39,,12-06-17,12690.44
13-06-17,2440.35,,13-06-17,12764.98
14-06-17,2437.92,,14-06-17,12805.95
15-06-17,2432.46,,15-06-17,12691.81
16-06-17,2433.15,,16-06-17,12752.73
17-06-17,2433.15,,17-06-17,12752.73
18-06-17,2433.15,,18-06-17,12752.73
19-06-17,2453.46,,19-06-17,12888.95
20-06-17,2437.03,,20-06-17,12814.79
21-06-17,2435.61,,21-06-17,12774.26
22-06-17,2434.5,,22-06-17,12794
23-06-17,2438.3,,23-06-17,12733.41
24-06-17,2438.3,,24-06-17,12733.41
25-06-17,2438.3,,25-06-17,12733.41
26-06-17,2439.07,,26-06-17,12770.83
27-06-17,2419.38,,27-06-17,12671.02
28-06-17,2440.69,,28-06-17,12647.27
29-06-17,2419.7,,29-06-17,12416.19
30-06-17,2423.41,,30-06-17,12325.12
01-07-17,2423.41,,01-07-17,12325.12
02-07-17,2423.41,,02-07-17,12325.12
03-07-17,2429.01,,03-07-17,12475.31
